NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      53 0010L,10,Rosemead,Los Angeles,'SR 164 (ROSEMEAD BL),'WB 10,'07-LA-010-26.84-RSMD,1953,1972,56,81.2,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Interstate, Urban",54411
      53 0010R,10,Rosemead,Los Angeles,'SR 164 (ROSEMEAD BL),'EB 10,'07-LA-010-26.84-RSMD,1953,1972,56,81.2,Concrete continuous,Slab,Functionally Obsolete,"Principal Arterial - Interstate, Urban",54412
      53 0010S,10,Rosemead,Los Angeles,'SR 164 (ROSEMEAD BL),'E10-N&S164-E10,'07-LA-010-26.84-RSMD,1951,0,59,94.4,Concrete continuous,Slab,,"Principal Arterial - Interstate, Urban",54413
      53 0033,1,Malibu,Los Angeles,'COAL CREEK,'STATE ROUTE 1,'07-LA-001-44.89-MAL,1925,1949,7,77.1,Concrete,Slab,,"Principal Arterial - Other, Urban",54421
      53 0035,1,Malibu,Los Angeles,'TOPANGA CREEK,'STATE ROUTE 1,'07-LA-001-40.99-MAL,1933,0,24,83,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",54423
      53 0049,66,Pomona,Los Angeles,'THOMPSON CREEK,'SR 66 (FOOTHILL),'07-LA-066-2.40-POM,1964,1970,10,92.2,Concrete,Slab,Structurally Deficient,"Principal Arterial - Other, Urban",54427
      53 0060,1,Long Beach,Los Angeles,'SAN GABRIEL RIVER,'STATE ROUTE 1,'07-LA-001-0.04-LBCH,1931,1962,122,84.8,Concrete,Slab,,"Principal Arterial - Other, Urban",54428
      53 0063,2,Pasadena,Los Angeles,'SLIDE CANYON,'STATE ROUTE 2,'07-LA-002-28.58-PAS,1931,0,55,84,Concrete,Slab,,"Principal Arterial - Other, Urban",54431
      53 0064,1,Long Beach,Los Angeles,'ALAMITOS BAY,'STATE ROUTE 1,'07-LA-001-0.98-LBCH,1959,1967,123,93.7,Concrete continuous,Slab,,"Principal Arterial - Other, Urban",54432
      53 0088,2,Pasadena,Los Angeles,'HILLSIDE,'STATE ROUTE 2,'07-LA-002-29.08-PAS,1931,0,25,70.6,Concrete,Slab,Functionally Obsolete,"Principal Arterial - Other, Urban",54446
